City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Port Hardy,CA,2021-10-11 23:30:19,50.6996,-127.4199,48.38,87,75,8.05,broken clouds
144,Saint-Pierre,RE,2021-10-11 23:25:39,-21.3393,55.4781,71.29,94,90,13.8,light rain
145,Mansehra,PK,2021-10-11 23:33:05,34.3333,73.2,58.39,57,2,7.11,clear sky
146,Shilka,RU,2021-10-11 23:33:05,51.85,116.0333,40.39,72,66,3.85,broken clouds
147,Bengkulu,ID,2021-10-11 23:30:09,-3.8004,102.2655,76.46,84,94,3.71,overcast clouds
148,Ponta Do Sol,PT,2021-10-11 23:31:00,32.6667,-17.1,72.23,63,67,5.21,broken clouds
149,Yaan,NG,2021-10-11 23:33:06,7.3833,8.5667,75.04,86,24,4.36,few clouds
150,Luanda,AO,2021-10-11 23:30:21,-8.8368,13.2343,75.2,83,75,6.91,broken clouds
151,Alofi,NU,2021-10-11 23:31:01,-19.0595,-169.9187,76.89,73,40,16.11,scattered clouds
152,Santa Lucia,ES,2021-10-11 23:33:06,27.9117,-15.5407,63.77,63,20,9.22,few clouds
153,Beringovskiy,RU,2021-10-11 23:30:47,63.05,179.3167,25.81,85,88,2.08,overcast clouds
154,Sitka,US,2021-10-11 23:33:07,57.0531,-135.33,46.29,71,90,20.71,moderate rain
155,Bethel,US,2021-10-11 23:30:17,41.3712,-73.414,65.66,88,1,3.44,clear sky
156,Upington,ZA,2021-10-11 23:33:07,-28.4478,21.2561,77.38,27,0,11.5,clear sky
157,Gaurela,IN,2021-10-11 23:33:07,22.75,81.9,65.01,71,19,2.44,few clouds
158,Ovsyanka,RU,2021-10-11 23:33:08,55.9575,92.5519,22.17,80,100,3.78,overcast clouds
159,Faanui,PF,2021-10-11 23:30:51,-16.4833,-151.75,80.01,78,41,14.74,light rain
160,San Cristobal,VE,2021-10-11 23:29:00,7.7669,-72.225,75.38,85,91,1.9,overcast clouds
161,Norman Wells,CA,2021-10-11 23:33:08,65.282,-126.8329,33.84,75,75,6.91,broken clouds
162,Rolla,US,2021-10-11 23:33:08,37.9514,-91.7713,61.14,83,90,3.0,overcast clouds
163,Grandview,US,2021-10-11 23:33:09,38.8858,-94.533,66.18,69,40,8.05,scattered clouds
164,Alice Springs,AU,2021-10-11 23:30:52,-23.7,133.8833,60.35,72,0,8.05,clear sky
165,Tazovskiy,RU,2021-10-11 23:33:09,67.4667,78.7,27.28,77,98,5.23,overcast clouds
166,Taylorville,US,2021-10-11 23:33:09,39.5489,-89.2945,66.42,79,93,21.25,overcast clouds
167,Tasiilaq,GL,2021-10-11 23:30:59,65.6145,-37.6368,33.96,70,63,4.47,broken clouds
168,The Pas,CA,2021-10-11 23:30:52,53.8251,-101.2541,48.22,76,90,16.11,haze
